Name,Latitude,Longitude,pop_buffer_hybrid,ho_size,EI_SubArea,PLN_Cabang,PROVINSI,XY_Source,full_population_2010_Census_BIG_method,distance_to_nearest_line_km,Desa,population_buffer_corrected,SettlementTargetElectrificationRate_2010Census,pop_outside_1kmBuffer,pop
820303100501,-1.92674,125.936091,1471,5.39,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,2065,0.203326601,8203031005,1682,0.81,0,0
820303100502,-1.919842,125.947425,211,5.39,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,297,0.103709169,8203031005,0,0,0,0
820303100601,-1.934608,125.903871,161,5.18,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,404,0.209845993,8203031006,161,0.4,0,0
820303100701,-1.919974,125.886498,1,4.67,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,9,0.476759922,8203031007,9,1,0,0
820303100702,-1.913417,125.880649,21,4.67,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,276,0.067132578,8203031007,13,0.05,0,0
820303100801,-1.909581,125.804672,282,4.55,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,282,7.697133484,8203031008,282,1,282,282
820303200101,-1.883743,126.164305,789,5.9,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1264,2.476896211,8203032001,684,0.54,1264,1264
820303200102,-1.815756,126.208502,173,5.9,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,277,10.73510857,8203032001,277,1,277,277
820303200201,-1.866336,126.207432,167,5.35,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,401,7.588363831,8203032002,167,0.42,401,401
820303200301,-1.866913,126.260597,1086,6.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1086,13.34745831,8203032003,1086,1,1086,1086
820303200302,-1.826565,126.291887,197,6.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,197,17.91657917,8203032003,197,1,197,197
820303200303,-1.821896,126.276214,204,6.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,204,16.52380974,8203032003,204,1,204,204
820303200401,-1.828733,126.481016,348,6.21,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,348,38.23091549,8203032004,348,1,348,348
820304000101,-1.882638,125.379373,754,4.49,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,754,7.596978095,8203040001,754,1,754,754
820304000102,-1.881921,125.376721,552,4.49,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,552,7.384276976,8203040001,552,1,552,552
820304000201,-1.806076,125.354352,455,4.41,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,2124,2.123364019,8203040002,455,0.21,2124,2124
820304000301,-1.784736,125.409467,489,3.88,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1519,1.13874124,8203040003,489,0.32,1519,1519
820304000401,-1.795195,125.453147,467,4.37,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,796,6.082145232,8203040004,467,0.59,796,796
820304001501,-1.839113,125.3301,335,4.66,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1122,2.453159073,8203040015,335,0.3,1122,1122
820304001601,-1.860787,125.365779,40,5.53,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,40,4.753128057,8203040016,40,1,40,40
820304001602,-1.845726,125.372268,43,5.53,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,43,3.911692916,8203040016,43,1,43,43
820304001799,-1.88536817360541,125.436786217232,134,4.62,Sanana&Dofa,Ternate,MALUKU UTARA,BPS_Centroids,134,10.43807982,8203040017,134,1,134,134
820304100101,-1.792136,125.478671,4459,4.17,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,6880,8.776823732,8203041001,4459,0.65,6880,6880
820304100201,-1.811336,125.583322,362,4.31,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,362,20.61142567,8203041002,362,1,362,362
820304100301,-1.779039,125.510781,19,4.26,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,19,12.23232539,8203041003,19,1,19,19
820304100302,-1.779117,125.513554,437,4.26,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,437,12.54085828,8203041003,437,1,437,437
820304100303,-1.779199,125.50932,547,4.26,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,547,12.06975522,8203041003,547,1,547,547
820304100304,-1.778676,125.508564,33,4.26,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,33,11.98576871,8203041003,33,1,33,33
820304100305,-1.778611,125.510579,19,4.26,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,19,12.21000276,8203041003,19,1,19,19
