Name,Phase,dist,Demand...Projected.nodal.demand.per.year,Demand..household....Target.household.count,PercentOfNewGridConnections,far.sighted.sequence,CumulativeHousesConnected.qty,Pln_cabang,Metric...System,Ei_subarea,Full_popul,X,Y
820203200201,2,7348.31533844855,178524,174,0.666487038077439,393,58129,Ternate,grid,Halmahera,790,128.096495,0.462141
820203200301,3,1394.56639068964,50274,49,0.762179391632365,460,66475,Ternate,grid,Halmahera,196,128.130969,0.460141
820203200302,3,2593.1333894738,158004,154,0.669880871848378,395,58425,Ternate,grid,Halmahera,626,128.119812,0.454412
820203200401,3,7283.13215962312,131328,128,0.770629579095819,467,67212,Ternate,grid,Halmahera,654,128.189665,0.431071
820203200501,3,4024.77721888607,184680,180,0.774493504706651,469,67549,Ternate,grid,Halmahera,581,128.221936,0.414677
820203200601,3,8113.52126405268,168264,164,0.892211380808787,541,77816,Ternate,grid,Halmahera,698,128.293457,0.400216
820203200602,3,1180.9333978946,53352,52,0.892807594849628,542,77868,Ternate,grid,Halmahera,219,128.303974,0.398736
820203200701,3,5445.75870317077,114912,112,0.916140202024835,561,79903,Ternate,grid,Halmahera,568,128.352837,0.402061
820203200899,3,4497.47855452186,161082,157,0.772429686872972,468,67369,Ternate,grid,Halmahera,630,128.2112801,0.465258048
820203200901,3,157.480337638194,145692,142,0.668115161035119,394,58271,Ternate,grid,Halmahera,597,128.097892,0.462374
820203300101,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,432,127.906114,0.405102
820203300201,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,429,127.900105,0.429164
820203300301,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,213,127.889448,0.474628
820203300302,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,490,127.934885,0.46483
820203300303,MiniGrid Systems,NA,60534,59,NA,NA,NA,Ternate,mini-grid,Halmahera,257,127.812343,0.62782
820203300401,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,880,127.935584,0.466877
820203300501,OffGrid Systems,NA,1026,1,NA,NA,NA,Ternate,off-grid,Halmahera,3,127.885715,0.541628
